Text,Language
தமிழ்நாடு,Tamil
செய்தி தமிழ் இது ஒரு,Tamil
நன்றி!,Tamil
வணக்கம்!,Tamil
மொழி தமிழ்?,Tamil
தமிழ் பாடம் ஒரு இந்த,Tamil
இருக்கிறீர்கள் எப்படி நீங்கள்?,Tamil
இது பரிசோதனை ஒரு?,Tamil
நன்றாக நான் இருக்கிறேன்!,Tamil
என் இது கருத்து,Tamil
நாம் ஏன்!,Tamil
காதலிக்கிறேன் நான்?,Tamil
நான் ஏனெனில்!,Tamil
நான் இருக்கிறேன் மகிழ்ச்சியாக,Tamil
படியுங்கள் நீங்கள் இதைப்,Tamil
என் இது இதயம்?,Tamil
உங்களுக்கு நான்?,Tamil
இந்த புத்தகம்,Tamil
என்ன நீங்கள் செய்கிறீர்கள்,Tamil
உங்களுக்காக நான் எழுதினேன்!,Tamil
என் வீட்டின்!,Tamil
சொன்னேன் நான்,Tamil
அவன் என் நண்பர்,Tamil
போகவில்லை நான்,Tamil
நீங்கள் நான்,Tamil
உன்னை நான்,Tamil
எனக்கு அது?,Tamil
நான் எனக்கு?,Tamil
இந்த புத்தகங்கள்,Tamil
எழுதியது நான்!,Tamil
உங்களுக்காக!,Tamil
நான் கேட்கிறேன்?,Tamil
நான் அவனுக்காக,Tamil
நீங்கள் அந்த!,Tamil
நான் சொல்லும்,Tamil
போய் நான்?,Tamil
நீங்கள் நான் என்று!,Tamil
நீங்கள் பற்றி இதை!,Tamil
சொன்னது நான்?,Tamil
அவனை அவன்,Tamil
நான் செய்தேன்?,Tamil
நீங்கள் என்னை?,Tamil
எனக்கு நீங்கள்,Tamil
அந்த நான்!,Tamil
அந்த நான்,Tamil
நீங்கள் அங்கு,Tamil
என்ன நீங்கள்,Tamil
நான் அங்கு,Tamil
நான் அவனுக்கு!,Tamil
போய் நீங்கள்?,Tamil
செய்தி ஒரு தமிழ் இது,Tamil
நன்றி,Tamil
வணக்கம்?,Tamil
தமிழ் மொழி,Tamil
பாடம் ஒரு தமிழ் இந்த?,Tamil
எப்படி இருக்கிறீர்கள் நீங்கள்?,Tamil
ஒரு பரிசோதனை இது?,Tamil
நன்றாக இருக்கிறேன் நான்!,Tamil
என் இது கருத்து?,Tamil
காதலிக்கிறேன் நான்!,Tamil
ஏனெனில் நான்?,Tamil
இருக்கிறேன் நான் மகிழ்ச்சியாக,Tamil
நீங்கள் இதைப் படியுங்கள்?,Tamil
இது என் இதயம்?,Tamil
உங்களுக்கு நான்,Tamil
இந்த புத்தகம்?,Tamil
என்ன நீங்கள் செய்கிறீர்கள்?,Tamil
நான் உங்களுக்காக எழுதினேன்!,Tamil
வீட்டின் என்?,Tamil
சொன்னேன் நான்?,Tamil
நண்பர் என் அவன்?,Tamil
போகவில்லை நான்?,Tamil
நீங்கள் நான்!,Tamil
நான் உன்னை,Tamil
அது எனக்கு,Tamil
எனக்கு நான்,Tamil
புத்தகங்கள் இந்த?,Tamil
எழுதியது நான்?,Tamil
நான் கேட்கிறேன்!,Tamil
அவனுக்காக நான்,Tamil
அந்த நீங்கள்?,Tamil
நான் சொல்லும்!,Tamil
நான் போய்?,Tamil
நீங்கள் என்று நான்?,Tamil
நீங்கள் இதை பற்றி!,Tamil
நான் சொன்னது!,Tamil
அவனை அவன்?,Tamil
நான் செய்தேன்!,Tamil
என்னை நீங்கள்,Tamil
நீங்கள் எனக்கு!,Tamil
நான் அந்த,Tamil
அங்கு நீங்கள்,Tamil
நீங்கள் என்ன!,Tamil
அங்கு நான்?,Tamil
அவனுக்கு நான்?,Tamil
தமிழ்நாடு?,Tamil
ஒரு இது செய்தி தமிழ்!,Tamil
நன்றி?,Tamil
மொழி தமிழ்!,Tamil
பாடம் தமிழ் ஒரு இந்த!,Tamil
இருக்கிறீர்கள் எப்படி நீங்கள்,Tamil
ஒரு பரிசோதனை இது!,Tamil
நான் இருக்கிறேன் நன்றாக?,Tamil
கருத்து என் இது!,Tamil
நான் ஏனெனில்?,Tamil
மகிழ்ச்சியாக நான் இருக்கிறேன்,Tamil
இதைப் படியுங்கள் நீங்கள்!,Tamil
இது இதயம் என்,Tamil
நான் உங்களுக்கு?,Tamil
செய்கிறீர்கள் நீங்கள் என்ன?,Tamil
உங்களுக்காக எழுதினேன் நான்!,Tamil
சொன்னேன் நான்!,Tamil
நான் நீங்கள்,Tamil
உன்னை நான்!,Tamil
நான் எனக்கு!,Tamil
இந்த புத்தகங்கள்!,Tamil
உங்களுக்காக?,Tamil
கேட்கிறேன் நான்!,Tamil
நான் அவனுக்காக?,Tamil
நான் சொல்லும்?,Tamil
நான் நீங்கள் என்று,Tamil
இதை பற்றி நீங்கள்!,Tamil
நான் சொன்னது?,Tamil
எனக்கு நீங்கள்!,Tamil
நான் அந்த?,Tamil
நீங்கள் அங்கு!,Tamil
நீங்கள் என்ன,Tamil
நான் அங்கு?,Tamil
அவனுக்கு நான்!,Tamil
தமிழ் ஒரு இது செய்தி,Tamil
வணக்கம்,Tamil
இந்த ஒரு தமிழ் பாடம்,Tamil
நீங்கள் எப்படி இருக்கிறீர்கள்!,Tamil
இது பரிசோதனை ஒரு!,Tamil
நான் நன்றாக இருக்கிறேன்?,Tamil
கருத்து என் இது?,Tamil
நாம் ஏன்,Tamil
காதலிக்கிறேன் நான்,Tamil
ஏனெனில் நான்,Tamil
இதைப் நீங்கள் படியுங்கள்?,Tamil
இது இதயம் என்?,Tamil
நான் உங்களுக்கு,Tamil
நீங்கள் என்ன செய்கிறீர்கள்!,Tamil
நான் எழுதினேன் உங்களுக்காக!,Tamil
நான் சொன்னேன்?,Tamil
என் அவன் நண்பர்!,Tamil
நான் போகவில்லை,Tamil
நான் நீங்கள்!,Tamil
எனக்கு அது,Tamil
நான் எனக்கு,Tamil
நான் எழுதியது,Tamil
நான் கேட்கிறேன்,Tamil
நீங்கள் அந்த,Tamil
சொல்லும் நான்!,Tamil
போய் நான்,Tamil
அவன் அவனை!,Tamil
எனக்கு நீங்கள்?,Tamil
அந்த நான்?,Tamil
நீங்கள் என்ன?,Tamil
நான் அங்கு!,Tamil
நீங்கள் போய்,Tamil
தமிழ் ஒரு இது செய்தி!,Tamil
தமிழ் மொழி?,Tamil
ஒரு இந்த பாடம் தமிழ்!,Tamil
நீங்கள் எப்படி இருக்கிறீர்கள்?,Tamil
நான் இருக்கிறேன் நன்றாக!,Tamil
என் கருத்து இது!,Tamil
இருக்கிறேன் நான் மகிழ்ச்சியாக?,Tamil
இதைப் படியுங்கள் நீங்கள்,Tamil
உங்களுக்கு நான்!,Tamil
புத்தகம் இந்த!,Tamil
நீங்கள் செய்கிறீர்கள் என்ன,Tamil
எழுதினேன் உங்களுக்காக நான்!,Tamil
வீட்டின் என்!,Tamil
நான் சொன்னேன்!,Tamil
என் அவன் நண்பர்,Tamil
எனக்கு நான்!,Tamil
அந்த நீங்கள்!,Tamil
என்று நீங்கள் நான்?,Tamil
நீங்கள் பற்றி இதை?,Tamil
அவனை அவன்!,Tamil
அங்கு நீங்கள்!,Tamil
என்ன நீங்கள்!,Tamil
நீங்கள் போய்!,Tamil
ஒரு இது தமிழ் செய்தி!,Tamil
தமிழ் பாடம் இந்த ஒரு?,Tamil
நான் நன்றாக இருக்கிறேன்!,Tamil
ஏன் நாம்!,Tamil
மகிழ்ச்சியாக நான் இருக்கிறேன்?,Tamil
படியுங்கள் இதைப் நீங்கள்!,Tamil
என் வீட்டின்,Tamil
என் நண்பர் அவன்?,Tamil
உன்னை நான்?,Tamil
அது எனக்கு?,Tamil
எழுதியது நான்,Tamil
நான் அவனுக்காக!,Tamil
நீங்கள் அந்த?,Tamil
நான் போய்,Tamil
நான் என்று நீங்கள்,Tamil
பற்றி நீங்கள் இதை?,Tamil
நான் சொன்னது,Tamil
அவன் அவனை,Tamil
செய்தேன் நான்!,Tamil
நீங்கள் என்னை!,Tamil
நீங்கள் எனக்கு,Tamil
அவனுக்கு நான்,Tamil
போய் நீங்கள்,Tamil
தமிழ் ஒரு செய்தி இது!,Tamil
தமிழ் பாடம் இந்த ஒரு,Tamil
எப்படி நீங்கள் இருக்கிறீர்கள்?,Tamil
இது ஒரு பரிசோதனை?,Tamil
நன்றாக இருக்கிறேன் நான்,Tamil
ஏன் நாம்,Tamil
நான் காதலிக்கிறேன்,Tamil
நான் இருக்கிறேன் மகிழ்ச்சியாக!,Tamil
படியுங்கள் இதைப் நீங்கள்?,Tamil
இது என் இதயம்!,Tamil
உங்களுக்காக எழுதினேன் நான்,Tamil
வீட்டின் என்,Tamil
நண்பர் அவன் என்!,Tamil
நான் போகவில்லை?,Tamil
நான் உன்னை!,Tamil
புத்தகங்கள் இந்த,Tamil
நான் எழுதியது?,Tamil
உங்களுக்காக,Tamil
சொல்லும் நான்,Tamil
என்று நீங்கள் நான்!,Tamil
சொன்னது நான்,Tamil
என்னை நீங்கள்!,Tamil
இது செய்தி தமிழ் ஒரு,Tamil
மொழி தமிழ்,Tamil
தமிழ் ஒரு பாடம் இந்த?,Tamil
இருக்கிறீர்கள் எப்படி நீங்கள்!,Tamil
ஒரு இது பரிசோதனை?,Tamil
நான் நன்றாக இருக்கிறேன்,Tamil
என் இது கருத்து!,Tamil
நான் காதலிக்கிறேன்?,Tamil
இதயம் என் இது?,Tamil
நீங்கள் என்ன செய்கிறீர்கள்,Tamil
நான் எழுதினேன் உங்களுக்காக,Tamil
அவன் என் நண்பர்!,Tamil
போகவில்லை நான்!,Tamil
நான் எழுதியது!,Tamil
என்று நான் நீங்கள்,Tamil
இதை பற்றி நீங்கள்?,Tamil
சொன்னது நான்!,Tamil
என்னை நீங்கள்?,Tamil
தமிழ்நாடு!,Tamil
ஒரு செய்தி இது தமிழ்!,Tamil
தமிழ் மொழி!,Tamil
ஒரு இந்த தமிழ் பாடம்,Tamil
பரிசோதனை ஒரு இது?,Tamil
இருக்கிறேன் நன்றாக நான்?,Tamil
இருக்கிறேன் நான் மகிழ்ச்சியாக!,Tamil
படியுங்கள் இதைப் நீங்கள்,Tamil
இதயம் இது என்,Tamil
புத்தகம் இந்த,Tamil
என்ன செய்கிறீர்கள் நீங்கள்,Tamil
எழுதினேன் நான் உங்களுக்காக!,Tamil
என் நண்பர் அவன்!,Tamil
அது எனக்கு!,Tamil
அவனுக்காக நான்!,Tamil
பற்றி இதை நீங்கள்?,Tamil
செய்தேன் நான்,Tamil
என்ன நீங்கள்?,Tamil
நான் அவனுக்கு,Tamil
இந்த பாடம் ஒரு தமிழ்?,Tamil
இருக்கிறீர்கள் நீங்கள் எப்படி,Tamil
இது கருத்து என்?,Tamil
ஏன் நாம்?,Tamil
நான் காதலிக்கிறேன்!,Tamil
நான் ஏனெனில்,Tamil
நான் மகிழ்ச்சியாக இருக்கிறேன்?,Tamil
இதைப் நீங்கள் படியுங்கள்!,Tamil
இதயம் இது என்?,Tamil
எழுதினேன் உங்களுக்காக நான்?,Tamil
என் அவன் நண்பர்?,Tamil
இந்த புத்தகங்கள்?,Tamil
சொல்லும் நான்?,Tamil
செய்தேன் நான்?,Tamil
ஒரு செய்தி தமிழ் இது,Tamil
ஒரு தமிழ் பாடம் இந்த,Tamil
இருக்கிறேன் நன்றாக நான்,Tamil
இது கருத்து என்!,Tamil
படியுங்கள் நீங்கள் இதைப்!,Tamil
நான் உன்னை?,Tamil
எனக்கு அது!,Tamil
அந்த நீங்கள்,Tamil
போய் நான்!,Tamil
என்று நான் நீங்கள்?,Tamil
இதை நீங்கள் பற்றி,Tamil
நான் அந்த!,Tamil
அங்கு நீங்கள்?,Tamil
தமிழ் இது செய்தி ஒரு,Tamil
பாடம் ஒரு இந்த தமிழ்?,Tamil
எப்படி நீங்கள் இருக்கிறீர்கள்!,Tamil
ஏனெனில் நான்!,Tamil
மகிழ்ச்சியாக இருக்கிறேன் நான்,Tamil
நீங்கள் படியுங்கள் இதைப்!,Tamil
நீங்கள் என்ன செய்கிறீர்கள்?,Tamil
நான் நீங்கள்?,Tamil
கேட்கிறேன் நான்?,Tamil
நான் நீங்கள் என்று?,Tamil
பற்றி இதை நீங்கள்!,Tamil
இது செய்தி தமிழ் ஒரு!,Tamil
இது ஒரு பரிசோதனை,Tamil
நன்றாக நான் இருக்கிறேன்,Tamil
கருத்து இது என்?,Tamil
நீங்கள் படியுங்கள் இதைப்,Tamil
நான் உங்களுக்கு!,Tamil
உங்களுக்காக எழுதினேன் நான்?,Tamil
அவன் அவனை?,Tamil
நீங்கள் போய்?,Tamil
தமிழ் ஒரு செய்தி இது,Tamil
தமிழ் பாடம் ஒரு இந்த!,Tamil
நீங்கள் இருக்கிறீர்கள் எப்படி!,Tamil
ஒரு பரிசோதனை இது,Tamil
இருக்கிறேன் நான் நன்றாக,Tamil
இருக்கிறேன் மகிழ்ச்சியாக நான்!,Tamil
நீங்கள் படியுங்கள் இதைப்?,Tamil
நான் உங்களுக்காக எழுதினேன்,Tamil
என் வீட்டின்?,Tamil
நான் சொன்னேன்,Tamil
கேட்கிறேன் நான்,Tamil
அவனுக்காக நான்?,Tamil
நீங்கள் நான் என்று,Tamil
இது தமிழ் ஒரு செய்தி,Tamil
ஒரு இந்த தமிழ் பாடம்!,Tamil
இது ஒரு பரிசோதனை!,Tamil
இது என் கருத்து!,Tamil
இருக்கிறேன் மகிழ்ச்சியாக நான்?,Tamil
இது இதயம் என்!,Tamil
செய்கிறீர்கள் நீங்கள் என்ன,Tamil
எழுதினேன் உங்களுக்காக நான்,Tamil
இதை நீங்கள் பற்றி!,Tamil
அங்கு நான்!,Tamil
போய் நீங்கள்!,Tamil
ஒரு தமிழ் இது செய்தி!,Tamil
இந்த தமிழ் பாடம் ஒரு!,Tamil
நீங்கள் எப்படி இருக்கிறீர்கள்,Tamil
பரிசோதனை இது ஒரு!,Tamil
நன்றாக இருக்கிறேன் நான்?,Tamil
இது கருத்து என்,Tamil
நான் உங்களுக்காக எழுதினேன்?,Tamil
நீங்கள் நான்?,Tamil
பற்றி நீங்கள் இதை,Tamil
இந்த ஒரு தமிழ் பாடம்?,Tamil
நீங்கள் இருக்கிறீர்கள் எப்படி,Tamil
என் கருத்து இது,Tamil
நாம் ஏன்?,Tamil
இருக்கிறேன் மகிழ்ச்சியாக நான்,Tamil
அவன் நண்பர் என்,Tamil
என்று நீங்கள் நான்,Tamil
இதை நீங்கள் பற்றி?,Tamil
செய்தி ஒரு தமிழ் இது!,Tamil
இருக்கிறீர்கள் நீங்கள் எப்படி!,Tamil
பரிசோதனை இது ஒரு,Tamil
இதைப் படியுங்கள் நீங்கள்?,Tamil
நீங்கள் அங்கு?,Tamil
நான் அவனுக்கு?,Tamil
செய்தி இது தமிழ் ஒரு!,Tamil
பாடம் இந்த ஒரு தமிழ்,Tamil
இருக்கிறேன் நான் நன்றாக?,Tamil
இது என் கருத்து?,Tamil
மகிழ்ச்சியாக இருக்கிறேன் நான்?,Tamil
புத்தகம் இந்த?,Tamil
என் நண்பர் அவன்,Tamil
நீங்கள் இதை பற்றி?,Tamil
நான் இருக்கிறேன் நன்றாக,Tamil
கருத்து என் இது,Tamil
படியுங்கள் நீங்கள் இதைப்?,Tamil
நண்பர் என் அவன்!,Tamil
தமிழ் செய்தி இது ஒரு?,Tamil
பாடம் இந்த தமிழ் ஒரு,Tamil
எப்படி இருக்கிறீர்கள் நீங்கள்!,Tamil
என் இதயம் இது,Tamil
நண்பர் அவன் என்?,Tamil
நான் போகவில்லை!,Tamil
நான் என்று நீங்கள்!,Tamil
நீங்கள் எனக்கு?,Tamil
செய்தி இது தமிழ் ஒரு,Tamil
செய்கிறீர்கள் என்ன நீங்கள்?,Tamil
நீங்கள் என்னை,Tamil
தமிழ் ஒரு இந்த பாடம்,Tamil
இருக்கிறேன் நான் நன்றாக!,Tamil
என் இது இதயம்,Tamil
நண்பர் அவன் என்,Tamil
என்று நான் நீங்கள்!,Tamil
அங்கு நான்,Tamil
இந்த பாடம் ஒரு தமிழ்!,Tamil
எப்படி நீங்கள் இருக்கிறீர்கள்,Tamil
பரிசோதனை இது ஒரு?,Tamil
நான் இருக்கிறேன் மகிழ்ச்சியாக?,Tamil
நீங்கள் என்று நான்!,Tamil
இது ஒரு செய்தி தமிழ்?,Tamil
இந்த தமிழ் ஒரு பாடம்!,Tamil
பரிசோதனை ஒரு இது!,Tamil
அவன் என் நண்பர்?,Tamil
புத்தகங்கள் இந்த!,Tamil
நீங்கள் இதை பற்றி,Tamil
செய்தி இது ஒரு தமிழ்,Tamil
இது பரிசோதனை ஒரு,Tamil
செய்கிறீர்கள் என்ன நீங்கள்,Tamil
அவன் நண்பர் என்?,Tamil
நான் நீங்கள் என்று!,Tamil
ஒரு இது தமிழ் செய்தி,Tamil
பாடம் இந்த தமிழ் ஒரு?,Tamil
எழுதினேன் நான் உங்களுக்காக?,Tamil
நண்பர் என் அவன்,Tamil
நான் செய்தேன்,Tamil
ஒரு செய்தி தமிழ் இது!,Tamil
இது என் இதயம்,Tamil
தமிழ் இது ஒரு செய்தி!,Tamil
நான் மகிழ்ச்சியாக இருக்கிறேன்!,Tamil
என்ன செய்கிறீர்கள் நீங்கள்?,Tamil
தமிழ் இது செய்தி ஒரு?,Tamil
இந்த பாடம் தமிழ் ஒரு?,Tamil
இருக்கிறீர்கள் நீங்கள் எப்படி?,Tamil
கருத்து இது என்!,Tamil
மகிழ்ச்சியாக நான் இருக்கிறேன்!,Tamil
நீங்கள் செய்கிறீர்கள் என்ன!,Tamil
தமிழ் இது ஒரு செய்தி?,Tamil
ஒரு பாடம் தமிழ் இந்த!,Tamil
பரிசோதனை ஒரு இது,Tamil
செய்கிறீர்கள் என்ன நீங்கள்!,Tamil
அவன் நண்பர் என்!,Tamil
ஒரு செய்தி இது தமிழ்,Tamil
தமிழ் இந்த பாடம் ஒரு!,Tamil
உங்களுக்காக நான் எழுதினேன்,Tamil
இது தமிழ் செய்தி ஒரு!,Tamil
ஒரு தமிழ் இந்த பாடம்?,Tamil
நீங்கள் இதைப் படியுங்கள்,Tamil
நான் போய்!,Tamil
செய்தி ஒரு தமிழ் இது?,Tamil
இந்த தமிழ் பாடம் ஒரு?,Tamil
நீங்கள் நான் என்று?,Tamil
தமிழ் இந்த பாடம் ஒரு,Tamil
இந்த ஒரு தமிழ் பாடம்!,Tamil
ஒரு இது பரிசோதனை,Tamil
நான் மகிழ்ச்சியாக இருக்கிறேன்,Tamil
நீங்கள் என்று நான்,Tamil
செய்தி இது ஒரு தமிழ்?,Tamil
ஒரு இது பரிசோதனை!,Tamil
இருக்கிறேன் நன்றாக நான்!,Tamil
எனக்கு நான்?,Tamil
பற்றி நீங்கள் இதை!,Tamil
தமிழ் செய்தி இது ஒரு!,Tamil
ஒரு பாடம் தமிழ் இந்த,Tamil
ஒரு தமிழ் பாடம் இந்த?,Tamil
என் இது இதயம்!,Tamil
இதை பற்றி நீங்கள்,Tamil
தமிழ் ஒரு இது செய்தி?,Tamil
பாடம் ஒரு தமிழ் இந்த!,Tamil
తెలుగు భాష?,Telugu
తెలుగు సందేశం ఒక ఇది,Telugu
ధన్యవాదాలు!,Telugu
నమస్కారం!,Telugu
తెలుగు భాషా?,Telugu
పాఠం ఈ తెలుగు?,Telugu
మీరు ఉన్నారు ఎలా!,Telugu
ప్రయోగం ఒక ఇది!,Telugu
బాగా నేను ఉన్నాను!,Telugu
ఇది నా అభిప్రాయం?,Telugu
ఎందుకు మేము!,Telugu
నేను ప్రేమిస్తున్నాను?,Telugu
ఎందుకంటే నేను!,Telugu
